calloc	realloc	free	sbrk
370	304	350	0x10a5d6000
353	319	352	0x10a5d6000
338	346	340	0x10a5d6000
338	350	336	0x10a5d6000
331	363	330	0x10a5d6000
339	346	339	0x10a5d6000
346	334	344	0x10a5d6000
348	328	348	0x10a5d6000
331	356	337	0x10a5d6000
325	380	319	0x10a5d6000
343	333	348	0x10a5d6000
326	377	321	0x10a5d6000
339	341	344	0x10a5d6000
331	365	328	0x10a5d6000
341	343	340	0x10a5d6000
332	360	332	0x10a5d6000
345	335	344	0x10a5d6000
328	367	329	0x10a5d6000
349	320	355	0x10a5d6000
330	365	329	0x10a5d6000
